measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2015,67.96239481120752,70.59972122266811,64.94288124292004
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2015,68.19129078391896,70.67205180061748,65.25789877246196
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2015,71.10207305376855,74.09281971504156,67.53609418815459
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2015,57.36360120948287,59.483291178196026,55.083892151363294
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2015,59.25372776028621,61.82551441330019,56.342667556759736
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2015,55.47051824610082,57.57775672759366,53.175506252621105
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2015,56.49460809933746,58.92737611401349,53.717633708165295
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2015,63.21477187072739,65.18966456924214,60.85063138583447
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2015,66.52018286582444,68.99855984125526,63.64174740279438
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1999,60.022734906460705,61.94942681748209,57.894042926811636
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1999,64.67352581287318,67.06686196064089,61.86240451779054
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1999,65.58575687513614,67.79043820904626,62.95050266179064
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1999,69.28188457205742,72.09413420217983,65.97113672295559
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1999,52.610129337398654,54.56317758053626,50.441266872537575
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1999,53.89292508199421,56.25800751158887,51.31998996375752
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1999,48.67664187984912,50.55633723202176,46.59829281591094
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1999,49.048753402822676,51.22742168153085,46.52954954120818
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1999,60.0697469045099,61.93530697215795,57.95740022311096
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1999,63.19705303121288,65.47054378591864,60.5788774160681
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2007,62.39666819300818,64.41181539298255,60.09504740645885
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2007,66.70322641658996,69.21020052592316,63.78138438723954
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2007,67.14775134082464,69.48189170106096,64.35496755278129
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2007,70.48526620735778,73.39360548554696,67.05726852674064
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2007,54.786498220999604,56.79425069591729,52.62671035732172
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2007,56.54290016597866,58.938068991539524,53.7901077212212
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2007,52.14176197962218,54.06325315894214,50.022032381769854
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2007,52.987493322302434,55.30049896678955,50.4203387705635
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2007,62.03958543347797,63.90433954403187,59.89091980910028
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2007,65.29495617441289,67.65429556249228,62.548784832106065
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2010,63.0701404137336,65.11191372038135,60.72118495661869
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2010,67.18829513713536,69.73294723097906,64.23991926757769
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2010,67.68675298312374,70.10209326841327,64.8259327673256
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2010,70.83088376746531,73.79291607839029,67.33082320123114
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2010,55.60125515850297,57.660878759724035,53.40680885354264
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2010,57.65073654733739,60.15524178344498,54.89153855565649
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2010,52.836066705330495,54.78416014366392,50.73328291882638
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2010,54.11081011539178,56.42903724515313,51.51639461951228
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2010,62.36863112765325,64.28563793796646,60.15736598390563
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2010,65.7355049335712,68.15504152638597,62.8945039785126
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2002,60.69254573207996,62.611468716503715,58.55224083136935
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2002,65.33410360398865,67.75196263066526,62.504115374995784
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2002,66.22361414678268,68.47851845309742,63.542240207056636
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2002,69.73322040868807,72.56017941632884,66.39419480558308
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2002,53.29586938524726,55.257550070431925,51.177428264107206
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2002,54.70846682339778,57.07397949966705,52.15005180355407
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2002,50.038455178734495,51.97701342536242,47.93701166382882
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2002,50.415055153615334,52.637221193339215,47.88928473805888
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2002,60.78278798327114,62.6361172188063,58.64092182412708
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2002,63.9452706144709,66.2416649556454,61.30497872777318
