measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,High SDI,Male,<1 year,Years,2003,75.73648602090738,75.75734795459155,75.71474840861427
Life expectancy,High SDI,Female,<1 year,Years,2003,81.60188164677959,81.620967151893,81.58234840155565
Life expectancy,Low-middle SDI,Male,<1 year,Years,2003,61.44237670912271,61.88033653323404,60.95548779469152
Life expectancy,Low-middle SDI,Female,<1 year,Years,2003,64.67389393552719,65.097304701767,64.22008898253347
Life expectancy,Low SDI,Male,<1 year,Years,2003,58.04466038079271,58.464619357043254,57.585420992293045
Life expectancy,Low SDI,Female,<1 year,Years,2003,60.053157118210564,60.48042637961055,59.60542518266621
Life expectancy,Middle SDI,Male,<1 year,Years,1991,65.90047208794911,66.25530606391196,65.52318362535152
Life expectancy,Middle SDI,Female,<1 year,Years,1991,70.35845948150916,70.63945661025474,70.06581813832176
Life expectancy,High-middle SDI,Male,<1 year,Years,2010,71.34966859629333,71.52252333932526,71.17184419584777
Life expectancy,High-middle SDI,Female,<1 year,Years,2010,77.80741359324097,77.94480158619966,77.64840773334231
Life expectancy,High SDI,Male,<1 year,Years,2010,77.64601572515451,77.67300298302494,77.61894948311122
Life expectancy,High SDI,Female,<1 year,Years,2010,83.1183287589507,83.14008632519173,83.09450016881316
Life expectancy,Low-middle SDI,Male,<1 year,Years,2010,63.569512100310384,64.03792528521207,63.07088270744622
Life expectancy,Low-middle SDI,Female,<1 year,Years,2010,67.59464089532591,68.05826020042707,67.12769748268778
Life expectancy,Low SDI,Male,<1 year,Years,2010,60.58466388353526,61.032824102265856,60.118703007110774
Life expectancy,Low SDI,Female,<1 year,Years,2010,63.64105775801539,64.02831859443687,63.21627713912602
Life expectancy,Middle SDI,Male,<1 year,Years,1990,65.69506403845426,66.0742110168159,65.30695303117615
Life expectancy,Middle SDI,Female,<1 year,Years,1990,70.0348531369692,70.32794410332552,69.72875097024465
Life expectancy,Middle SDI,Male,<1 year,Years,2004,68.43106976541073,68.65924187764115,68.21224708782654
Life expectancy,Middle SDI,Female,<1 year,Years,2004,73.77140899008758,73.97245415790844,73.56284498012886
Life expectancy,High-middle SDI,Male,<1 year,Years,2017,73.33370729330466,73.69279977893142,72.98406775660345
Life expectancy,High-middle SDI,Female,<1 year,Years,2017,79.42583594314745,79.69884359674406,79.13011806948964
Life expectancy,High SDI,Male,<1 year,Years,2017,78.4715093126247,78.64572116204144,78.29638934883376
